"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"PATCH_OBJ_84","0000d3b8","Instruction Label","Global","Imported","1","0"
"PATCH_OBJ_AC","0000d3e0","Instruction Label","Global","Imported","0","0"
"PATCH_OBJ_B4","0000d3e8","Thunk Function","Global","User Defined","0","0"
"PATCH_OBJ_C8","0000d3fc","Function","Global","User Defined","0","0"
"_patch_card","0000d410","Function","Global","User Defined","0","0"
"PATCH_OBJ_138","0000d46c","Instruction Label","Global","Imported","1","0"
"_patch_card2","0000d4a4","Function","Global","User Defined","0","0"
"PATCH_OBJ_1AC","0000d4e0","Instruction Label","Global","Imported","1","0"
"_copy_memcard_patch","0000d514","Function","Global","User Defined","0","0"
"PATCH_OBJ_1F4","0000d528","Instruction Label","Global","Imported","1","0"
"FUN_0000d928","0000d928","Function","Global","Default","0","0"
"FUN_0000d9a0","0000d9a0","Function","Global","Default","0","0"
"FUN_0000daa8","0000daa8","Function","Global","Default","0","0"
"FUN_0000db14","0000db14","Function","Global","Default","0","0"
"FUN_0000dc74","0000dc74","Function","Global","Default","0","0"
"FUN_0000dda4","0000dda4","Function","Global","Default","0","0"
"FUN_0000de04","0000de04","Function","Global","Default","0","0"
"FUN_0000de88","0000de88","Function","Global","Default","0","0"
"FUN_0000deac","0000deac","Function","Global","Default","0","0"
"FUN_0000ded0","0000ded0","Function","Global","Default","0","0"
"FUN_0000defc","0000defc","Function","Global","Default","0","0"
"FUN_0000dfec","0000dfec","Function","Global","Default","0","0"
"FUN_0000e068","0000e068","Function","Global","Default","0","0"
"FUN_0000e090","0000e090","Function","Global","Default","0","0"
"FUN_0000e188","0000e188","Function","Global","Default","0","0"
"FUN_0000e1d8","0000e1d8","Function","Global","Default","0","0"
"FUN_0000e23c","0000e23c","Function","Global","Default","0","0"
"FUN_0000e2ac","0000e2ac","Function","Global","Default","0","0"
"FUN_0000e2f4","0000e2f4","Function","Global","Default","0","0"
"FUN_0000e368","0000e368","Function","Global","Default","0","0"
"bzero","0000e3e4","Function","Global","User Defined","0","0"
"FUN_0000e404","0000e404","Function","Global","Default","0","0"
"FUN_0000e444","0000e444","Function","Global","Default","0","0"
